"My Referrals","Mis Referidos"
"Create New Referral","Crear Nuevo Referido"
"Referral","Referido"
"Referrals","Referidos"
"Thank you for registering through an invitation!","¡Gracias por registrarte a través de una invitación!"
"You have not created any referrals.","No has creado ningún referido."
"Name","Nombre"
"First Name","Nombre"
"Last Name","Apellido"
"Email","Correo electrónico"
"Phone","Teléfono"
"Save","Guardar"
"Update", "Actualizar"
"Edit","Editar"
"Delete","Eliminar"
"Action","Acción"
"Actions","Acciones"
"Pending","Pendiente"
"Registered","Registrado"
"Referral #","N* de Referido"
"ID","Id"
"Status","Estado"
"No referrals found.","No se encontraron referidos."
"Referral has been successfully created.","El referido ha sido creado exitosamente."
"Referral has been successfully updated.","El referido ha sido actualizado exitosamente."
"Referral has been successfully deleted.","El referido ha sido eliminado exitosamente."
"An error occurred while saving the referral.","Ocurrió un error al guardar el referido."
"An error occurred while updating the referral.","Ocurrió un error al actualizar el referido."
"An error occurred while deleting the referral.","Ocurrió un error al eliminar el referido."
"Are you sure you want to delete this referral?","¿Estás seguro de que deseas eliminar este referido?"
"Invalid session. Please reload the page.","Sesión inválida. Por favor, recargue la página."
"You must log in to create a referral.","Debe iniciar sesión para crear un referido."
"You have already referred this email address.","Ya has referido a este correo electrónico."
"No data has been received to save.","No se han recibido datos para guardar."
"Invalid session. Please reload the page.","Sesión inválida. Por favor, recargue la página."
"You must log in to edit a referral.","Debe iniciar sesión para editar un referido."
"You do not have permission to edit this referral.","No tienes permiso para editar este referido."
"No data has been received to update.","No se han recibido datos para actualizar."
"Referral not found.","Referido no encontrado."
"You must log in to delete a referral.","Debe iniciar sesión para eliminar un referido."
"You do not have permission to delete this referral.","No tienes permiso para eliminar este referido."
"You must be logged in to create a referral.","Debes estar logeado para crear un referido."
"You must be logged in to edit a referral.","Debes estar logeado para editar un referido."
"You must be logged in to view the referrals.","Debes estar logeado para ver tus referidos."
